,Date,Close,warna,ML,symbol
0,2004-03-18,3500.0,red,LR,isat
1,2004-03-19,3800.0,red,LR,isat
2,2004-03-23,3825.0,red,LR,isat
3,2004-03-24,3750.0,red,LR,isat
4,2004-03-25,3725.0,red,LR,isat
5,2004-03-26,3675.0,red,LR,isat
6,2004-03-29,3675.0,red,LR,isat
7,2004-03-30,3775.0,red,LR,isat
8,2004-03-31,3850.0,red,LR,isat
9,2004-04-01,3825.0,red,LR,isat
10,2004-04-02,3750.0,red,LR,isat
11,2004-04-06,3925.0,red,LR,isat
12,2004-04-07,4250.0,red,LR,isat
13,2004-04-08,4300.0,red,LR,isat
14,2004-04-12,4200.0,red,LR,isat
15,2004-04-13,4150.0,red,LR,isat
16,2004-04-14,4100.0,red,LR,isat
17,2004-04-15,4075.0,red,LR,isat
18,2004-04-16,4125.0,red,LR,isat
19,2004-04-19,4250.0,red,LR,isat
20,2004-04-20,4275.0,red,LR,isat
21,2004-04-21,4525.0,red,LR,isat
22,2004-04-22,4425.0,red,LR,isat
23,2004-04-23,4400.0,red,LR,isat
24,2004-04-26,4450.0,red,LR,isat
25,2004-04-27,4475.0,red,LR,isat
26,2004-04-28,4425.0,red,LR,isat
27,2004-04-29,4175.0,red,LR,isat
28,2004-04-30,3975.0,red,LR,isat
29,2004-05-04,4125.0,red,LR,isat
30,2004-05-05,4025.0,red,LR,isat
31,2004-05-06,3950.0,red,LR,isat
32,2004-05-07,3875.0,red,LR,isat
33,2004-05-10,3625.0,red,LR,isat
34,2004-05-11,3600.0,red,LR,isat
35,2004-05-12,3875.0,red,LR,isat
36,2004-05-13,3825.0,red,LR,isat
37,2004-05-14,3625.0,red,LR,isat
38,2004-05-17,3275.0,red,LR,isat
39,2004-05-18,3325.0,red,LR,isat
40,2004-05-19,3575.0,red,LR,isat
41,2004-05-21,3800.0,red,LR,isat
42,2004-05-24,3875.0,red,LR,isat
43,2004-05-25,3875.0,red,LR,isat
44,2004-05-26,3850.0,red,LR,isat
45,2004-05-27,4000.0,red,LR,isat
46,2004-05-28,3975.0,red,LR,isat
47,2004-05-31,4000.0,red,LR,isat
48,2004-06-01,3975.0,red,LR,isat
49,2004-06-02,3950.0,red,LR,isat
50,2004-06-04,3725.0,red,LR,isat
51,2004-06-07,3725.0,red,LR,isat
52,2004-06-08,3800.0,red,LR,isat
53,2004-06-09,3800.0,red,LR,isat
54,2004-06-10,3850.0,red,LR,isat
55,2004-06-11,3825.0,red,LR,isat
56,2004-06-14,3800.0,red,LR,isat
57,2004-06-15,3925.0,red,LR,isat
58,2004-06-16,3950.0,red,LR,isat
59,2004-06-17,3900.0,red,LR,isat
60,2004-06-18,3825.0,red,LR,isat
61,2004-06-21,3725.0,red,LR,isat
62,2004-06-22,3750.0,red,LR,isat
63,2004-06-23,3900.0,red,LR,isat
64,2004-06-24,3950.0,red,LR,isat
65,2004-06-25,3950.0,red,LR,isat
66,2004-06-28,4025.0,red,LR,isat
67,2004-06-29,3975.0,red,LR,isat
68,2004-06-30,4025.0,red,LR,isat
69,2004-07-01,4050.0,red,LR,isat
70,2004-07-02,4125.0,red,LR,isat
71,2004-07-06,4225.0,red,LR,isat
72,2004-07-07,4250.0,red,LR,isat
73,2004-07-08,4300.0,red,LR,isat
74,2004-07-09,4325.0,red,LR,isat
75,2004-07-12,4375.0,red,LR,isat
76,2004-07-13,4375.0,red,LR,isat
77,2004-07-14,4100.0,red,LR,isat
78,2004-07-15,4125.0,red,LR,isat
79,2004-07-16,4175.0,red,LR,isat
80,2004-07-19,4150.0,red,LR,isat
81,2004-07-20,4175.0,red,LR,isat
82,2004-07-21,4275.0,red,LR,isat
83,2004-07-22,4300.0,red,LR,isat
84,2004-07-23,4275.0,red,LR,isat
85,2004-07-26,4300.0,red,LR,isat
86,2004-07-27,4275.0,red,LR,isat
87,2004-07-28,4300.0,red,LR,isat
88,2004-07-29,4250.0,red,LR,isat
89,2004-07-30,4125.0,red,LR,isat
90,2004-08-02,4100.0,red,LR,isat
91,2004-08-03,4100.0,red,LR,isat
92,2004-08-04,4075.0,red,LR,isat
93,2004-08-05,4050.0,red,LR,isat
94,2004-08-06,4025.0,red,LR,isat
95,2004-08-09,4050.0,red,LR,isat
96,2004-08-10,4050.0,red,LR,isat
97,2004-08-11,4275.0,red,LR,isat
98,2004-08-12,4225.0,red,LR,isat
99,2004-08-13,4175.0,red,LR,isat
100,2004-08-16,4150.0,red,LR,isat
101,2004-08-18,4100.0,red,LR,isat
102,2004-08-19,4125.0,red,LR,isat
103,2004-08-20,4125.0,red,LR,isat
104,2004-08-23,4100.0,red,LR,isat
105,2004-08-24,4075.0,red,LR,isat
106,2004-08-25,4075.0,red,LR,isat
107,2004-08-26,4075.0,red,LR,isat
108,2004-08-27,4125.0,red,LR,isat
109,2004-08-30,4175.0,red,LR,isat
110,2004-08-31,4200.0,red,LR,isat
111,2004-09-01,4250.0,red,LR,isat
112,2004-09-02,4300.0,red,LR,isat
113,2004-09-03,4325.0,red,LR,isat
114,2004-09-06,4250.0,red,LR,isat
115,2004-09-07,4200.0,red,LR,isat
116,2004-09-08,4225.0,red,LR,isat
117,2004-09-09,4225.0,red,LR,isat
118,2004-09-10,4275.0,red,LR,isat
119,2004-09-14,4425.0,red,LR,isat
120,2004-09-15,4400.0,red,LR,isat
121,2004-09-16,4350.0,red,LR,isat
122,2004-09-17,4300.0,red,LR,isat
123,2004-09-21,4375.0,red,LR,isat
124,2004-09-22,4325.0,red,LR,isat
125,2004-09-23,4275.0,red,LR,isat
126,2004-09-24,4300.0,red,LR,isat
127,2004-09-27,4250.0,red,LR,isat
128,2004-09-28,4175.0,red,LR,isat
129,2004-09-29,4175.0,red,LR,isat
130,2004-09-30,4225.0,red,LR,isat
131,2004-10-01,4325.0,red,LR,isat
132,2004-10-04,4450.0,red,LR,isat
133,2004-10-05,4425.0,red,LR,isat
134,2004-10-06,4400.0,red,LR,isat
135,2004-10-07,4350.0,red,LR,isat
136,2004-10-08,4350.0,red,LR,isat
137,2004-10-11,4375.0,red,LR,isat
138,2004-10-12,4300.0,red,LR,isat
139,2004-10-13,4275.0,red,LR,isat
140,2004-10-14,4275.0,red,LR,isat
141,2004-10-15,4225.0,red,LR,isat
142,2004-10-18,4275.0,red,LR,isat
143,2004-10-19,4400.0,red,LR,isat
144,2004-10-20,4325.0,red,LR,isat
145,2004-10-21,4325.0,red,LR,isat
146,2004-10-22,4475.0,red,LR,isat
147,2004-10-25,4500.0,red,LR,isat
148,2004-10-26,4450.0,red,LR,isat
149,2004-10-27,4550.0,red,LR,isat
150,2004-10-28,4750.0,red,LR,isat
151,2004-10-29,4725.0,red,LR,isat
152,2004-11-01,4850.0,red,LR,isat
153,2004-11-02,5000.0,red,LR,isat
154,2004-11-03,5150.0,red,LR,isat
155,2004-11-04,5200.0,red,LR,isat
156,2004-11-05,5250.0,red,LR,isat
157,2004-11-08,5200.0,red,LR,isat
158,2004-11-09,5350.0,red,LR,isat
159,2004-11-10,5400.0,red,LR,isat
160,2004-11-11,5550.0,red,LR,isat
161,2004-11-12,5600.0,red,LR,isat
162,2004-11-22,5600.0,red,LR,isat
163,2004-11-23,5800.0,red,LR,isat
164,2004-11-24,6000.0,red,LR,isat
165,2004-11-25,5700.0,red,LR,isat
166,2004-11-26,5800.0,red,LR,isat
167,2004-11-29,5750.0,red,LR,isat
168,2004-11-30,5750.0,red,LR,isat
169,2004-12-01,5700.0,red,LR,isat
170,2004-12-02,5700.0,red,LR,isat
171,2004-12-03,5650.0,red,LR,isat
172,2004-12-06,5600.0,red,LR,isat
173,2004-12-07,5750.0,red,LR,isat
174,2004-12-08,5850.0,red,LR,isat
175,2004-12-09,5750.0,red,LR,isat
176,2004-12-10,5500.0,red,LR,isat
177,2004-12-13,5600.0,red,LR,isat
178,2004-12-14,5350.0,red,LR,isat
179,2004-12-15,5500.0,red,LR,isat
180,2004-12-16,5600.0,red,LR,isat
181,2004-12-17,5600.0,red,LR,isat
182,2004-12-20,5550.0,red,LR,isat
183,2004-12-21,5500.0,red,LR,isat
184,2004-12-22,5550.0,red,LR,isat
185,2004-12-23,5650.0,red,LR,isat
186,2004-12-27,5800.0,red,LR,isat
187,2004-12-28,5850.0,red,LR,isat
188,2004-12-29,5800.0,red,LR,isat
189,2004-12-30,5750.0,red,LR,isat
190,2005-01-03,5850.0,red,LR,isat
191,2005-01-04,5950.0,red,LR,isat
192,2005-01-05,5900.0,red,LR,isat
193,2005-01-06,6250.0,red,LR,isat
194,2005-01-07,6400.0,red,LR,isat
195,2005-01-10,6150.0,red,LR,isat
196,2005-01-11,5950.0,red,LR,isat
197,2005-01-12,5900.0,red,LR,isat
198,2005-01-13,5950.0,red,LR,isat
199,2005-01-14,6000.0,red,LR,isat
200,2005-01-17,5950.0,red,LR,isat
201,2005-01-18,5800.0,red,LR,isat
202,2005-01-19,6000.0,red,LR,isat
203,2005-01-20,6150.0,red,LR,isat
204,2005-01-24,6050.0,red,LR,isat
205,2005-01-25,5900.0,red,LR,isat
206,2005-01-26,5850.0,red,LR,isat
207,2005-01-27,5700.0,red,LR,isat
208,2005-01-28,5800.0,red,LR,isat
209,2005-01-31,5700.0,red,LR,isat
210,2005-02-01,5750.0,red,LR,isat
211,2005-02-02,5750.0,red,LR,isat
212,2005-02-03,5550.0,red,LR,isat
213,2005-02-04,5550.0,red,LR,isat
214,2005-02-07,5500.0,red,LR,isat
215,2005-02-08,5300.0,red,LR,isat
216,2005-02-11,5450.0,red,LR,isat
217,2005-02-14,5500.0,red,LR,isat
218,2005-02-15,5550.0,red,LR,isat
219,2005-02-16,5550.0,red,LR,isat
220,2005-02-17,5600.0,red,LR,isat
221,2005-02-18,5550.0,red,LR,isat
222,2005-02-21,5500.0,red,LR,isat
223,2005-02-22,5450.0,red,LR,isat
224,2005-02-23,5500.0,red,LR,isat
225,2005-02-24,5500.0,red,LR,isat
226,2005-02-25,5350.0,red,LR,isat
227,2005-02-28,5250.0,red,LR,isat
228,2005-03-01,5350.0,red,LR,isat
229,2005-03-02,5250.0,red,LR,isat
230,2005-03-03,5250.0,red,LR,isat
231,2005-03-04,5350.0,red,LR,isat
232,2005-03-07,5350.0,red,LR,isat
233,2005-03-08,5400.0,red,LR,isat
234,2005-03-09,5450.0,red,LR,isat
235,2005-03-10,5100.0,red,LR,isat
236,2005-03-14,5050.0,red,LR,isat
237,2005-03-15,4850.0,red,LR,isat
238,2005-03-16,4800.0,red,LR,isat
239,2005-03-17,4775.0,red,LR,isat
240,2005-03-18,4775.0,red,LR,isat
241,2005-03-21,4875.0,red,LR,isat
242,2005-03-22,5100.0,red,LR,isat
243,2005-03-23,5200.0,red,LR,isat
244,2005-03-24,4950.0,red,LR,isat
245,2005-03-28,5000.0,red,LR,isat
246,2005-03-29,4900.0,red,LR,isat
247,2005-03-30,4750.0,red,LR,isat
248,2005-03-31,4875.0,red,LR,isat
249,2005-04-01,5050.0,red,LR,isat
250,2005-04-04,5150.0,red,LR,isat
251,2005-04-05,5250.0,red,LR,isat
252,2005-04-06,5150.0,red,LR,isat
253,2005-04-07,5100.0,red,LR,isat
254,2005-04-08,5000.0,red,LR,isat
255,2005-04-11,5000.0,red,LR,isat
256,2005-04-12,5050.0,red,LR,isat
257,2005-04-13,5000.0,red,LR,isat
258,2005-04-14,4950.0,red,LR,isat
259,2005-04-15,4900.0,red,LR,isat
260,2005-04-18,4825.0,red,LR,isat
261,2005-04-19,4750.0,red,LR,isat
262,2005-04-20,4750.0,red,LR,isat
263,2005-04-21,4625.0,red,LR,isat
264,2005-04-25,4550.0,red,LR,isat
265,2005-04-26,4575.0,red,LR,isat
266,2005-04-27,4475.0,red,LR,isat
267,2005-04-28,4375.0,red,LR,isat
268,2005-04-29,4325.0,red,LR,isat
269,2005-05-02,4275.0,red,LR,isat
270,2005-05-03,4375.0,red,LR,isat
271,2005-05-04,4575.0,red,LR,isat
272,2005-05-06,4775.0,red,LR,isat
273,2005-05-09,4850.0,red,LR,isat
274,2005-05-10,4800.0,red,LR,isat
275,2005-05-11,4750.0,red,LR,isat
276,2005-05-12,4750.0,red,LR,isat
277,2005-05-13,4775.0,red,LR,isat
278,2005-05-16,4775.0,red,LR,isat
279,2005-05-17,4775.0,red,LR,isat
280,2005-05-18,4725.0,red,LR,isat
281,2005-05-19,4775.0,red,LR,isat
282,2005-05-20,4800.0,red,LR,isat
283,2005-05-23,4800.0,red,LR,isat
284,2005-05-25,4775.0,red,LR,isat
285,2005-05-26,4750.0,red,LR,isat
286,2005-05-27,4800.0,red,LR,isat
287,2005-05-30,4800.0,red,LR,isat
288,2005-05-31,4950.0,red,LR,isat
289,2005-06-01,5025.0,red,LR,isat
290,2005-06-02,5150.0,red,LR,isat
291,2005-06-03,5200.0,red,LR,isat
292,2005-06-06,5350.0,red,LR,isat
293,2005-06-07,5250.0,red,LR,isat
294,2005-06-08,5150.0,red,LR,isat
295,2005-06-09,5200.0,red,LR,isat
296,2005-06-10,5300.0,red,LR,isat
297,2005-06-13,5400.0,red,LR,isat
298,2005-06-14,5400.0,red,LR,isat
299,2005-06-15,5500.0,red,LR,isat
300,2005-06-16,5450.0,red,LR,isat
301,2005-06-17,5650.0,red,LR,isat
302,2005-06-20,5600.0,red,LR,isat
303,2005-06-21,5450.0,red,LR,isat
304,2005-06-22,5550.0,red,LR,isat
305,2005-06-23,5600.0,red,LR,isat
306,2005-06-24,5650.0,red,LR,isat
307,2005-06-27,5650.0,red,LR,isat
308,2005-06-28,5600.0,red,LR,isat
309,2005-06-29,5600.0,red,LR,isat
310,2005-06-30,5500.0,red,LR,isat
311,2005-07-01,5650.0,red,LR,isat
312,2005-07-04,5650.0,red,LR,isat
313,2005-07-05,5600.0,red,LR,isat
314,2005-07-06,5450.0,red,LR,isat
315,2005-07-07,5300.0,red,LR,isat
316,2005-07-08,5300.0,red,LR,isat
317,2005-07-11,5450.0,red,LR,isat
318,2005-07-12,5450.0,red,LR,isat
319,2005-07-13,5400.0,red,LR,isat
320,2005-07-14,5450.0,red,LR,isat
321,2005-07-15,5250.0,red,LR,isat
322,2005-07-18,5300.0,red,LR,isat
323,2005-07-19,5350.0,red,LR,isat
324,2005-07-20,5500.0,red,LR,isat
325,2005-07-21,5550.0,red,LR,isat
326,2005-07-22,5750.0,red,LR,isat
327,2005-07-25,5800.0,red,LR,isat
328,2005-07-26,5750.0,red,LR,isat
329,2005-07-27,5700.0,red,LR,isat
330,2005-07-28,5700.0,red,LR,isat
331,2005-07-29,5800.0,red,LR,isat
332,2005-08-01,5800.0,red,LR,isat
333,2005-08-02,5700.0,red,LR,isat
334,2005-08-03,5700.0,red,LR,isat
335,2005-08-04,5700.0,red,LR,isat
336,2005-08-05,5600.0,red,LR,isat
337,2005-08-08,5500.0,red,LR,isat
338,2005-08-09,5750.0,red,LR,isat
339,2005-08-10,5850.0,red,LR,isat
340,2005-08-11,5750.0,red,LR,isat
341,2005-08-12,5800.0,red,LR,isat
342,2005-08-15,5600.0,red,LR,isat
343,2005-08-16,5650.0,red,LR,isat
344,2005-08-18,5550.0,red,LR,isat
345,2005-08-19,5550.0,red,LR,isat
346,2005-08-22,5250.0,red,LR,isat
347,2005-08-23,5300.0,red,LR,isat
348,2005-08-24,5150.0,red,LR,isat
349,2005-08-25,5250.0,red,LR,isat
350,2005-08-26,5150.0,red,LR,isat
351,2005-08-29,5050.0,red,LR,isat
352,2005-08-30,5200.0,red,LR,isat
353,2005-08-31,5300.0,red,LR,isat
354,2005-09-01,5300.0,red,LR,isat
355,2005-09-05,5100.0,red,LR,isat
356,2005-09-06,5200.0,red,LR,isat
357,2005-09-07,5300.0,red,LR,isat
358,2005-09-08,5450.0,red,LR,isat
359,2005-09-09,5450.0,red,LR,isat
360,2005-09-12,5350.0,red,LR,isat
361,2005-09-13,5200.0,red,LR,isat
362,2005-09-14,5100.0,red,LR,isat
363,2005-09-15,5050.0,red,LR,isat
364,2005-09-16,5100.0,red,LR,isat
365,2005-09-19,5300.0,red,LR,isat
366,2005-09-20,5200.0,red,LR,isat
367,2005-09-21,5150.0,red,LR,isat
368,2005-09-22,5000.0,red,LR,isat
369,2005-09-23,4950.0,red,LR,isat
370,2005-09-26,5075.0,red,LR,isat
371,2005-09-27,5050.0,red,LR,isat
372,2005-09-28,4900.0,red,LR,isat
373,2005-09-29,5000.0,red,LR,isat
374,2005-09-30,5300.0,red,LR,isat
375,2005-10-03,5450.0,red,LR,isat
376,2005-10-04,5550.0,red,LR,isat
377,2005-10-05,5800.0,red,LR,isat
378,2005-10-06,5750.0,red,LR,isat
379,2005-10-07,5650.0,red,LR,isat
380,2005-10-10,5700.0,red,LR,isat
381,2005-10-11,5750.0,red,LR,isat
382,2005-10-12,5750.0,red,LR,isat
383,2005-10-13,5650.0,red,LR,isat
384,2005-10-14,5600.0,red,LR,isat
385,2005-10-17,5550.0,red,LR,isat
386,2005-10-18,5550.0,red,LR,isat
387,2005-10-19,5400.0,red,LR,isat
388,2005-10-20,5400.0,red,LR,isat
389,2005-10-21,5350.0,red,LR,isat
390,2005-10-24,5150.0,red,LR,isat
391,2005-10-25,5050.0,red,LR,isat
392,2005-10-26,5100.0,red,LR,isat
393,2005-10-27,5050.0,red,LR,isat
394,2005-10-28,4900.0,red,LR,isat
395,2005-10-31,4875.0,red,LR,isat
396,2005-11-01,4975.0,red,LR,isat
397,2005-11-09,4975.0,red,LR,isat
398,2005-11-10,5000.0,red,LR,isat
399,2005-11-11,4950.0,red,LR,isat
400,2005-11-14,5000.0,red,LR,isat
401,2005-11-15,5100.0,red,LR,isat
402,2005-11-16,5200.0,red,LR,isat
403,2005-11-17,5150.0,red,LR,isat
404,2005-11-18,5250.0,red,LR,isat
405,2005-11-21,5250.0,red,LR,isat
406,2005-11-22,5300.0,red,LR,isat
407,2005-11-23,5250.0,red,LR,isat
408,2005-11-24,5200.0,red,LR,isat
409,2005-11-25,5250.0,red,LR,isat
410,2005-11-28,5350.0,red,LR,isat
411,2005-11-29,5400.0,red,LR,isat
412,2005-11-30,5350.0,red,LR,isat
413,2005-12-01,5500.0,red,LR,isat
414,2005-12-02,5600.0,red,LR,isat
415,2005-12-05,5650.0,red,LR,isat
416,2005-12-06,5700.0,red,LR,isat
417,2005-12-07,5750.0,red,LR,isat
418,2005-12-08,5750.0,red,LR,isat
419,2005-12-09,5650.0,red,LR,isat
420,2005-12-12,5700.0,red,LR,isat
421,2005-12-13,5700.0,red,LR,isat
422,2005-12-14,5600.0,red,LR,isat
423,2005-12-15,5400.0,red,LR,isat
424,2005-12-16,5400.0,red,LR,isat
425,2005-12-19,5600.0,red,LR,isat
426,2005-12-20,5600.0,red,LR,isat
427,2005-12-21,5650.0,red,LR,isat
428,2005-12-22,5550.0,red,LR,isat
429,2005-12-23,5600.0,red,LR,isat
430,2005-12-27,5700.0,red,LR,isat
431,2005-12-28,5600.0,red,LR,isat
432,2005-12-29,5550.0,red,LR,isat
433,2006-01-02,5750.0,red,LR,isat
434,2006-01-03,5700.0,red,LR,isat
435,2006-01-04,5850.0,red,LR,isat
436,2006-01-05,6000.0,red,LR,isat
437,2006-01-06,6100.0,red,LR,isat
438,2006-01-09,6100.0,red,LR,isat
439,2006-01-11,5950.0,red,LR,isat
440,2006-01-12,5950.0,red,LR,isat
441,2006-01-13,5800.0,red,LR,isat
442,2006-01-16,5700.0,red,LR,isat
443,2006-01-17,5550.0,red,LR,isat
444,2006-01-18,5500.0,red,LR,isat
445,2006-01-19,5750.0,red,LR,isat
446,2006-01-20,5850.0,red,LR,isat
447,2006-01-23,5650.0,red,LR,isat
448,2006-01-24,5750.0,red,LR,isat
449,2006-01-25,5850.0,red,LR,isat
450,2006-01-26,5850.0,red,LR,isat
451,2006-01-27,5900.0,red,LR,isat
452,2006-01-30,5800.0,red,LR,isat
453,2006-02-01,5800.0,red,LR,isat
454,2006-02-02,5750.0,red,LR,isat
455,2006-02-03,5600.0,red,LR,isat
456,2006-02-06,5700.0,red,LR,isat
457,2006-02-07,5650.0,red,LR,isat
458,2006-02-08,5500.0,red,LR,isat
459,2006-02-09,5500.0,red,LR,isat
460,2006-02-10,5600.0,red,LR,isat
461,2006-02-13,5450.0,red,LR,isat
462,2006-02-14,5450.0,red,LR,isat
463,2006-02-15,5450.0,red,LR,isat
464,2006-02-16,5500.0,red,LR,isat
465,2006-02-17,5500.0,red,LR,isat
466,2006-02-20,5500.0,red,LR,isat
467,2006-02-21,5400.0,red,LR,isat
468,2006-02-22,5150.0,red,LR,isat
469,2006-02-23,5000.0,red,LR,isat
470,2006-02-24,5000.0,red,LR,isat
471,2006-02-27,5150.0,red,LR,isat
472,2006-02-28,5250.0,red,LR,isat
473,2006-03-01,5200.0,red,LR,isat
474,2006-03-02,5150.0,red,LR,isat
475,2006-03-03,5200.0,red,LR,isat
476,2006-03-06,5200.0,red,LR,isat
477,2006-03-07,5050.0,red,LR,isat
478,2006-03-08,5050.0,red,LR,isat
479,2006-03-09,5050.0,red,LR,isat
480,2006-03-10,5000.0,red,LR,isat
481,2006-03-13,4950.0,red,LR,isat
482,2006-03-14,4900.0,red,LR,isat
483,2006-03-15,4900.0,red,LR,isat
484,2006-03-16,5025.0,red,LR,isat
485,2006-03-17,5300.0,red,LR,isat
486,2006-03-20,5350.0,red,LR,isat
487,2006-03-21,5250.0,red,LR,isat
488,2006-03-22,5150.0,red,LR,isat
489,2006-03-23,5100.0,red,LR,isat
490,2006-03-24,4950.0,red,LR,isat
491,2006-03-27,5075.0,red,LR,isat
492,2006-03-28,5300.0,red,LR,isat
493,2006-03-29,5150.0,red,LR,isat
494,2006-04-03,5250.0,red,LR,isat
495,2006-04-04,5250.0,red,LR,isat
496,2006-04-05,5200.0,red,LR,isat
497,2006-04-06,5150.0,red,LR,isat
498,2006-04-07,5100.0,red,LR,isat
499,2006-04-11,5100.0,red,LR,isat
500,2006-04-12,5100.0,red,LR,isat
501,2006-04-13,5050.0,red,LR,isat
502,2006-04-17,4900.0,red,LR,isat
503,2006-04-18,5025.0,red,LR,isat
504,2006-04-19,5200.0,red,LR,isat
505,2006-04-20,5150.0,red,LR,isat
506,2006-04-21,5200.0,red,LR,isat
507,2006-04-24,5250.0,red,LR,isat
508,2006-04-25,5250.0,red,LR,isat
509,2006-04-26,5500.0,red,LR,isat
510,2006-04-27,5450.0,red,LR,isat
511,2006-04-28,5400.0,red,LR,isat
512,2006-05-01,5300.0,red,LR,isat
513,2006-05-02,5250.0,red,LR,isat
514,2006-05-03,5350.0,red,LR,isat
515,2006-05-04,5400.0,red,LR,isat
516,2006-05-05,5450.0,red,LR,isat
517,2006-05-08,5500.0,red,LR,isat
518,2006-05-09,5700.0,red,LR,isat
519,2006-05-10,5800.0,red,LR,isat
520,2006-05-11,5700.0,red,LR,isat
521,2006-05-12,5600.0,red,LR,isat
522,2006-05-15,5150.0,red,LR,isat
523,2006-05-16,5200.0,red,LR,isat
524,2006-05-17,5300.0,red,LR,isat
525,2006-05-18,5150.0,red,LR,isat
526,2006-05-19,5100.0,red,LR,isat
527,2006-05-22,4700.0,red,LR,isat
528,2006-05-23,4900.0,red,LR,isat
529,2006-05-24,4950.0,red,LR,isat
530,2006-05-29,5150.0,red,LR,isat
531,2006-05-30,5000.0,red,LR,isat
532,2006-05-31,5000.0,red,LR,isat
533,2006-06-01,4850.0,red,LR,isat
534,2006-06-02,4850.0,red,LR,isat
535,2006-06-05,4800.0,red,LR,isat
536,2006-06-06,4650.0,red,LR,isat
537,2006-06-07,4375.0,red,LR,isat
538,2006-06-08,4200.0,red,LR,isat
539,2006-06-09,4350.0,red,LR,isat
540,2006-06-12,4325.0,red,LR,isat
541,2006-06-13,4125.0,red,LR,isat
542,2006-06-14,4100.0,red,LR,isat
543,2006-06-15,4050.0,red,LR,isat
544,2006-06-16,4275.0,red,LR,isat
545,2006-06-19,4350.0,red,LR,isat
546,2006-06-20,4350.0,red,LR,isat
547,2006-06-21,4250.0,red,LR,isat
548,2006-06-22,4275.0,red,LR,isat
549,2006-06-23,4275.0,red,LR,isat
550,2006-06-26,4250.0,red,LR,isat
551,2006-06-27,4200.0,red,LR,isat
