,Date,Close,warna,ML,symbol
0,2004-09-28,825.0,red,MA,TLKM
1,2004-09-29,825.0,red,MA,TLKM
2,2004-09-30,830.0,red,MA,TLKM
3,2004-10-01,840.0,red,MA,TLKM
4,2004-10-04,870.0,red,MA,TLKM
5,2004-10-05,880.0,red,MA,TLKM
6,2004-10-06,860.0,red,MA,TLKM
7,2004-10-07,855.0,red,MA,TLKM
8,2004-10-08,855.0,red,MA,TLKM
9,2004-10-11,870.0,red,MA,TLKM
10,2004-10-12,855.0,red,MA,TLKM
11,2004-10-13,870.0,red,MA,TLKM
12,2004-10-14,860.0,red,MA,TLKM
13,2004-10-15,860.0,red,MA,TLKM
14,2004-10-18,855.0,red,MA,TLKM
15,2004-10-19,880.0,red,MA,TLKM
16,2004-10-20,865.0,red,MA,TLKM
17,2004-10-21,850.0,red,MA,TLKM
18,2004-10-22,870.0,red,MA,TLKM
19,2004-10-25,860.0,red,MA,TLKM
20,2004-10-26,835.0,red,MA,TLKM
21,2004-10-27,840.0,red,MA,TLKM
22,2004-10-28,860.0,red,MA,TLKM
23,2004-10-29,870.0,red,MA,TLKM
24,2004-11-01,870.0,red,MA,TLKM
25,2004-11-02,915.0,red,MA,TLKM
26,2004-11-03,945.0,red,MA,TLKM
27,2004-11-04,920.0,red,MA,TLKM
28,2004-11-05,930.0,red,MA,TLKM
29,2004-11-08,925.0,red,MA,TLKM
30,2004-11-09,935.0,red,MA,TLKM
31,2004-11-10,950.0,red,MA,TLKM
32,2004-11-11,940.0,red,MA,TLKM
33,2004-11-12,945.0,red,MA,TLKM
34,2004-11-22,990.0,red,MA,TLKM
35,2004-11-23,1000.0,red,MA,TLKM
36,2004-11-24,1020.0,red,MA,TLKM
37,2004-11-25,990.0,red,MA,TLKM
38,2004-11-26,1000.0,red,MA,TLKM
39,2004-11-29,990.0,red,MA,TLKM
40,2004-11-30,1000.0,red,MA,TLKM
41,2004-12-01,1020.0,red,MA,TLKM
42,2004-12-02,1040.0,red,MA,TLKM
43,2004-12-03,1000.0,red,MA,TLKM
44,2004-12-06,1000.0,red,MA,TLKM
45,2004-12-07,1020.0,red,MA,TLKM
46,2004-12-08,1010.0,red,MA,TLKM
47,2004-12-09,980.0,red,MA,TLKM
48,2004-12-10,940.0,red,MA,TLKM
49,2004-12-13,940.0,red,MA,TLKM
50,2004-12-14,920.0,red,MA,TLKM
51,2004-12-15,950.0,red,MA,TLKM
52,2004-12-16,975.0,red,MA,TLKM
53,2004-12-17,990.0,red,MA,TLKM
54,2004-12-20,985.0,red,MA,TLKM
55,2004-12-21,980.0,red,MA,TLKM
56,2004-12-22,975.0,red,MA,TLKM
57,2004-12-23,965.0,red,MA,TLKM
58,2004-12-27,975.0,red,MA,TLKM
59,2004-12-28,970.0,red,MA,TLKM
60,2004-12-29,980.0,red,MA,TLKM
61,2004-12-30,965.0,red,MA,TLKM
62,2005-01-03,985.0,red,MA,TLKM
63,2005-01-04,990.0,red,MA,TLKM
64,2005-01-05,975.0,red,MA,TLKM
65,2005-01-06,995.0,red,MA,TLKM
66,2005-01-07,1025.0,red,MA,TLKM
67,2005-01-10,990.0,red,MA,TLKM
68,2005-01-11,970.0,red,MA,TLKM
69,2005-01-12,965.0,red,MA,TLKM
